"","X1","doc_id","Date","pr_nr","pr_date","short_text","docket_nb","date","year","pr_dummy","decision_type","second_senate_dummy","chamber_decision","unanimous","sep_op","oral","bvr","bvl","bvq","bvc","bve","bvf","bvb","bvg","bvk","bvh","bvm","bvn","pbvu","bvp","unsuc_dec","uncons","hyp_time_minus","prior_attention","count","lower_co_uncons","status_quo"
"38",38,"19970610_1bvr222694.txt",19970610,NA,NA,"Einschraenkung der Befugnis des BND zur Verwendung (G10 Art 1 § 3 Abs 3 S 1) und Weitergabe (G10 Art 1 § 3 Abs 5 S 1) von Daten, die bei der ueberwachung des Fernmeldeverkehrs aufgrund sog verdachtsloser Rasterfahndung erlangt werden
","1 BvR 2226/94",1997-06-10 02:00:00,1997,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997-05-31 02:00:00,1,199,0,0
"39",39,"19970618_2bvr048395.txt",19970618,NA,NA,"Verfassungsbeschwerden betreffend den Rechtsschutz verurteilter auslaendischer Strafgefangener hinsichtlich der von ihnen gewuenschten ueberstellung zur Strafvollstreckung in ihr Heimatland teilweise erfolgreich
","2 BvR 483/95",1997-06-18 02:00:00,1997,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1997-06-08 02:00:00,1,6602,0,0
"40",40,"19970624_1bvr230696.txt",19970624,NA,NA,"Antrag auf Erlass einer einstweiligen Anordnung gegen Vorschriften des Bayerischen Schwangerenhilfeergaenzungsgesetzes erfolgreich
","1 BvR 2306/96",1997-06-24 02:00:00,1997,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997-06-14 02:00:00,0,4773,0,0
"41",41,"19970624_2bvf000193.txt",19970624,NA,NA,"Unzulaessiger Antrag auf Feststellung der Gueltigkeit von Bundes- oder Landesrecht 
","2 BvF 1/93",1997-06-24 02:00:00,1997,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1997-06-14 02:00:00,0,2190,0,0
"42",42,"19970624_2bvp000194.txt",19970624,NA,NA,"Beschwerden betreffend die Ablehnung eines Antrags auf Durchfuehrung eines Volksbegehrens zur Bildung eines Landes Franken erfolglos
","2 BvP 1/94",1997-06-24 02:00:00,1997,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1997-06-14 02:00:00,0,4068,0,0
"43",43,"19970708_1bvr040394.txt",19970708,NA,NA,"Erfolgreiche Erinnerungen von Beschwerdefuehrern gegen Kostenfestsetzungsbeschluesse nach erfolgreichen Verfassungsbeschwerden
","1 BvR 403/94",1997-07-08 02:00:00,1997,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997-06-28 02:00:00,1,1919,0,0
"44",44,"19970708_1bvr124395.txt",19970708,NA,NA,"Sonderkuendigungstatbestaende fuer den oeffentlichen Dienst im Beitrittsgebiet im Blick auf das Grundrecht der freien Wahl des Arbeitsplatzes nach GG Art 12 Abs 1 iVm Art 33 Abs 2 als ergaenzende Regelung fuer den Zugang zum oeffentlichen Dienst: Eignungsvoraussetzungen iSv GG Art 33 Abs 2 an staatlichen Schulen - Verfassungsmaessigkeit des im EinigVtr enthaltenen Sonderkuendigungstatbestandes
","1 BvR 1243/95",1997-07-08 02:00:00,1997,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1997-06-28 02:00:00,1,6348,0,0
"45",45,"19970708_1bvr162194.txt",19970708,NA,NA,"Verfassungsbeschwerde betreffend die Kuendigung eines aus dem oeffentlichen Dienst der DDR uebernommenen Hochschullehrers wegen mangelnder fachlicher Eignung erfolglos
","1 BvR 1621/94",1997-07-08 02:00:00,1997,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1997-06-28 02:00:00,1,4186,0,0
"46",46,"19970708_1bvr193493.txt",19970708,NA,NA,"Verfassungsbeschwerde betreffend die Kuendigung wegen einer frueheren Stasi-Taetigkeit erfolglos
","1 BvR 1934/93",1997-07-08 02:00:00,1997,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1997-06-28 02:00:00,1,5033,0,0
"47",47,"19970708_1bvr211194.txt",19970708,NA,NA,"Verfassungsbeschwerden betreffend die unzutreffende Beantwortung von Fragen nach Funktionen in politischen Parteien und  Stasi-Taetigkeiten teilweise erfolgreich
","1 BvR 2111/94",1997-07-08 02:00:00,1997,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1997-06-28 02:00:00,1,6322,0,0
"48",48,"19970708_2bve000197.txt",19970708,NA,NA,"Erfolglose Antraege auf Erlass einer einstweiligen Anordnung im Organstreitverfahren betreffend den Plutonium-Untersuchungsausschuss
","2 BvE 1/97",1997-07-08 02:00:00,1997,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1997-06-28 02:00:00,1,2442,0,0
